               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.020045,           0.0086113,           0.0022906,             0.99534,                   1,               0.995,               0.768,            0.019256,           0.0052602,            0.001768,            0.003565,            0.003565,            0.003565
                  67,            0.017678,           0.0079107,           0.0023165,              0.9927,                   1,               0.995,             0.84561,            0.013944,           0.0047598,             0.00174,            0.003466,            0.003466,            0.003466
                  68,            0.017482,           0.0076482,           0.0023371,             0.99177,                   1,               0.995,             0.82833,            0.015572,           0.0050107,           0.0017227,            0.003367,            0.003367,            0.003367
                  69,            0.017376,            0.007392,           0.0023995,             0.99254,                   1,               0.995,             0.88339,            0.011858,           0.0045727,           0.0016423,            0.003268,            0.003268,            0.003268
                  70,            0.015778,           0.0073969,            0.002053,             0.99217,             0.99994,               0.995,             0.84871,            0.014224,           0.0047368,            0.001542,            0.003169,            0.003169,            0.003169
                  71,            0.017302,           0.0075742,           0.0019957,             0.99712,                   1,               0.995,             0.86908,            0.012938,           0.0045129,           0.0014386,             0.00307,             0.00307,             0.00307
                  72,            0.017374,           0.0076563,           0.0017859,             0.99689,                   1,               0.995,             0.84249,             0.01533,           0.0046859,           0.0013929,            0.002971,            0.002971,            0.002971
                  73,            0.016259,           0.0068928,           0.0017231,             0.99879,                   1,               0.995,             0.88611,            0.012517,           0.0045049,           0.0013467,            0.002872,            0.002872,            0.002872
                  74,            0.016076,           0.0078399,           0.0018142,             0.99837,                   1,               0.995,             0.84039,            0.014679,           0.0048551,           0.0013139,            0.002773,            0.002773,            0.002773
                  75,            0.015869,           0.0076253,           0.0015825,             0.99757,                   1,               0.995,             0.88451,            0.012125,           0.0045074,           0.0012839,            0.002674,            0.002674,            0.002674
                  76,            0.016089,           0.0078688,           0.0018095,             0.99539,                   1,               0.995,             0.86797,            0.013624,           0.0045278,           0.0012673,            0.002575,            0.002575,            0.002575
                  77,            0.015155,           0.0074773,           0.0015841,             0.99561,             0.99986,               0.995,              0.8932,            0.011996,           0.0044188,           0.0012511,            0.002476,            0.002476,            0.002476
                  78,            0.014312,           0.0065901,           0.0017391,             0.99432,                   1,               0.995,             0.88185,            0.012902,           0.0045759,           0.0012497,            0.002377,            0.002377,            0.002377
                  79,            0.014257,           0.0065611,           0.0015337,             0.99427,                   1,               0.995,             0.89504,            0.011722,           0.0044216,            0.001222,            0.002278,            0.002278,            0.002278
                  80,            0.014104,            0.006929,           0.0016709,             0.99453,                   1,               0.995,             0.88122,            0.012158,           0.0045561,           0.0012049,            0.002179,            0.002179,            0.002179
                  81,            0.013126,           0.0067153,           0.0013555,               0.996,                   1,               0.995,             0.90132,            0.011276,           0.0044462,           0.0011612,             0.00208,             0.00208,             0.00208
                  82,            0.012652,             0.00693,            0.001914,             0.99613,                   1,               0.995,             0.90191,            0.010836,           0.0044039,           0.0011273,            0.001981,            0.001981,            0.001981
                  83,            0.013291,           0.0063631,           0.0012036,             0.99685,                   1,               0.995,             0.88593,            0.011366,           0.0043856,           0.0010658,            0.001882,            0.001882,            0.001882
                  84,             0.01278,           0.0067729,           0.0015312,             0.99707,             0.99994,               0.995,             0.87674,            0.011255,           0.0043565,           0.0010206,            0.001783,            0.001783,            0.001783
                  85,             0.01258,           0.0065649,           0.0012553,             0.99679,                   1,               0.995,             0.90215,            0.010872,           0.0042285,          0.00098227,            0.001684,            0.001684,            0.001684
                  86,            0.012591,           0.0065972,           0.0012943,             0.99652,                   1,               0.995,             0.88372,            0.010868,           0.0042213,          0.00095589,            0.001585,            0.001585,            0.001585
                  87,            0.012308,           0.0062603,            0.001222,             0.99677,                   1,               0.995,             0.88146,             0.01106,           0.0042364,          0.00091823,            0.001486,            0.001486,            0.001486
                  88,            0.012365,           0.0064269,           0.0013147,             0.99703,                   1,               0.995,             0.89312,            0.011078,           0.0042564,          0.00089258,            0.001387,            0.001387,            0.001387
                  89,            0.011963,           0.0072281,           0.0011572,             0.99742,                   1,               0.995,             0.90201,            0.010477,           0.0042477,          0.00085646,            0.001288,            0.001288,            0.001288
                  90,            0.011746,           0.0065941,           0.0013089,             0.99748,                   1,               0.995,             0.90098,            0.010872,            0.004298,          0.00083825,            0.001189,            0.001189,            0.001189
                  91,            0.011974,           0.0067367,           0.0012945,             0.99738,                   1,               0.995,             0.89036,            0.010911,            0.004249,          0.00081165,             0.00109,             0.00109,             0.00109
                  92,            0.011086,           0.0060186,           0.0011154,             0.99776,                   1,               0.995,             0.90135,            0.010554,             0.00415,          0.00079264,            0.000991,            0.000991,            0.000991
                  93,             0.01184,           0.0065529,           0.0015085,             0.99793,                   1,               0.995,             0.90177,            0.010559,           0.0041542,           0.0007714,            0.000892,            0.000892,            0.000892
                  94,            0.011397,           0.0068271,            0.001391,             0.99818,                   1,               0.995,             0.89421,             0.01026,           0.0041306,          0.00076117,            0.000793,            0.000793,            0.000793
                  95,            0.011068,           0.0057829,           0.0010182,             0.99872,                   1,               0.995,             0.89739,            0.010634,           0.0041622,          0.00074446,            0.000694,            0.000694,            0.000694
                  96,            0.011585,           0.0064282,          0.00095663,             0.99886,                   1,               0.995,             0.90043,            0.010595,            0.004157,          0.00073556,            0.000595,            0.000595,            0.000595
                  97,            0.010712,           0.0062934,           0.0009302,             0.99903,                   1,               0.995,             0.90424,            0.010402,            0.004139,          0.00071824,            0.000496,            0.000496,            0.000496
                  98,            0.010886,            0.006143,          0.00097827,              0.9986,                   1,               0.995,             0.90481,            0.010344,           0.0041696,          0.00071072,            0.000397,            0.000397,            0.000397
                  99,            0.011296,           0.0072176,           0.0014521,             0.99858,                   1,               0.995,             0.91269,            0.010251,           0.0041521,          0.00070267,            0.000298,            0.000298,            0.000298
